['53465', '53718']
['53718', '53719']
['53719', '53513']
['53513', '61728']
['2', '61241']
['61241', '50537']
['50383', '50396']
['50396', '50407']
['50407', '50419']
['50419', '50425']
['50425', '50434']
['50434', '50459']
['50459', '50473']
['50473', '50517']
['50517', '50572']
['50572', '50595']
['50595', '61118']
['61118', '61242']
['61242', '50706']
['50706', '50755']
['50755', '50803']
['50803', '50880']
['50880', '50932']
['50932', '51001']
['51001', '51079']
['51079', '51143']
['51143', '51224']
['51224', '51277']
['51277', '51360']
['51360', '51394']
['51394', '51471']
['51471', '51471']
['51471', '51519']
['51519', '64']
['64', '51663']
['51663', '51693']
['51693', '51707']
['51707', '51758']
['51758', '51758']
['51758', '54094']
['54094', '51735']
['51735', '51658']
['51658', '51548']
['51548', '51480']
['51480', '51425']
['51425', '51367']
['51367', '51299']
['51299', '51246']
['51246', '51185']
['51185', '54238']
['54238', '51100']
['51100', '60484']
['60484', '54189']
['54189', '55179']
['55179', '55157']
['55157', '55133']
['55133', '55114']
['55114', '55133']
['55337', '55332']
['55332', '55032']
['55032', '55030']
['55030', '55029']
['55029', '60433']
['60433', '55334']
['55334', '55334']
['55334', '55042']
['55042', '55051']
['55051', '55063']
['55063', '55071']
['55071', '55093']
['55093', '55104']
['55104', '55133']
['55133', '55159']
['55159', '55188']
['55188', '55164']
['55164', '55185']
['55185', '55202']
['55202', '55216']
['55216', '55241']
['55241', '55219']
['55219', '55242']
['55242', '55249']
['55249', '55266']
['55266', '55266']
['55266', '55280']
['55285', '55291']
['55291', '54236']
['54236', '51464']
['51464', '54048']
['54048', '51553']
['51553', '51610']
['51610', '53928']
['53928', '51698']
['51698', '51760']
['51760', '51811']
['51811', '51849']
['51849', '51907']
['51907', '51994']
['51994', '53929']
['53929', '51980']
['51980', '51889']
['51889', '54050']
['54050', '60901']
['60901', '52125']
['52125', '53684']
['53684', '52303']
['52303', '54073']
['54073', '60802']
['60802', '60403']
['19', '53144']
['53144', '54653']
['54653', '54650']
['54650', '54634']
['54634', '54618']
['54618', '54602']
['54602', '54595']
['54595', '54719']
['54719', '54581']
['54581', '54565']
['54565', '54549']
['54549', '54540']
['54540', '54533']
['54533', '54522']
['54522', '54516']
['54516', '54528']
['54528', '54534']
['54717', '54514']
['60333', '51878']
['51766', '51722']
['51722', '51669']
['51669', '51621']
['51621', '51691']
['51691', '51689']
['51689', '51616']
['28', '52943']
['52943', '52891']
['52891', '52809']
['52809', '52677']
['52677', '52677']
['52677', '52536']
['52536', '52455']
['52455', '52455']
['52455', '52388']
['52388', '52305']
['52305', '52199']
['52199', '52145']
['52145', '52121']
['52121', '52022']
['52022', '51904']
['51904', '51820']
['51820', '51768']
['51768', '51679']
['51679', '51603']
['51603', '51534']
['51534', '51451']
['51451', '51383']
['51383', '51323']
['51323', '51301']
['51301', '51274']
['51274', '51217']
['51217', '51217']
['54395', '50983']
['50983', '50876']
['50876', '50804']
['50804', '61556']
['61556', '50646']
['50646', '50610']
['50610', '61707']
['61707', '50517']
['50517', '50473']
['50473', '50431']
['50431', '50399']
['50399', '50401']
['50401', '50376']
['50376', '50389']
['51526', '51556']
['51556', '51643']
['51643', '51674']
['51674', '51752']
['51752', '51832']
['51832', '51862']
['51862', '8']
['8', '61299']
['61299', '61301']
['61301', '61370']
['61370', '61302']
['61302', '51930']
['51930', '51976']
['51976', '52022']
['52022', '52087']
['52087', '52189']
