fid,id,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,CenDeg,CatCenDeg,Clossnes,CatClossnes
"7715","1000000000007714","58056","(588080.9821317908, 5037996.785160052)","58056",Cherrier / Lachapelle,"58056",,"45.489940","-73.872789",,http://m.stm.info/fr/horaires/arrets/58056/bus,"0",,,"1",,,0.000347222222,"2",1.772039510709,"3"
"7716","1000000000007715","58062","(587852.895979699, 5037859.135744537)","58062",Cherrier / des Prés,"58062",,"45.488730","-73.875732",,http://m.stm.info/fr/horaires/arrets/58062/bus,"0",,,"1",,,0.000231481481,"1",1.741038158019,"3"
"7717","1000000000007716","58047","(587738.8008843635, 5037740.643683577)","58047",Cherrier / Saint-Charles,"58047",,"45.487678","-73.877213",,http://m.stm.info/fr/horaires/arrets/58047/bus,"0",,,"1",,,0.000231481481,"1",1.711102875308,"3"
"7718","1000000000007717","58045","(587613.2051211242, 5037611.437105993)","58045",Cherrier / de l'Église,"58045",,"45.486531","-73.878843",,http://m.stm.info/fr/horaires/arrets/58045/bus,"0",,,"1",,,0.000231481481,"1",1.682179602298,"3"
"7719","1000000000007718","58065","(587398.112482541, 5037846.898438859)","58065",École Jacques-Bizard (de l'Église / No 515),"58065",,"45.488677","-73.881553",,http://m.stm.info/fr/horaires/arrets/58065/bus,"0",,,"1",,,0.000231481481,"1",1.654217873139,"3"
"7720","1000000000007719","58038","(587276.1104852224, 5037987.321055814)","58038",de l'Église / Chèvremont,"58038",,"45.489956","-73.883089",,http://m.stm.info/fr/horaires/arrets/58038/bus,"0",,,"1",,,0.000231481481,"1",1.627170522556,"3"
"7721","1000000000007720","58041","(587380.2120883885, 5038082.88630887)","58041",Chèvremont / de Tonty,"58041",,"45.490803","-73.881740",,http://m.stm.info/fr/horaires/arrets/58041/bus,"0",,,"1",,,0.000231481481,"1",1.600993420359,"3"
"7722","1000000000007721","58043","(587470.8384160881, 5038158.153205553)","58043",Chèvremont / Ouimet,"58043",,"45.491469","-73.880567",,http://m.stm.info/fr/horaires/arrets/58043/bus,"0",,,"1",,,0.000231481481,"1",1.575645231173,"3"
"7723","1000000000007722","58064","(587645.8113388875, 5038304.603179324)","58064",Chèvremont / Aimé-Lecavalier,"58064",,"45.492765","-73.878302",,http://m.stm.info/fr/horaires/arrets/58064/bus,"0",,,"1",,,0.000231481481,"1",1.55108719664,"3"
"7724","1000000000007723","58049","(587838.6903537973, 5038466.532077277)","58049",Chèvremont / Jacques-Bizard,"58049",,"45.494198","-73.875805",,http://m.stm.info/fr/horaires/arrets/58049/bus,"0",,,"1",,,0.000231481481,"1",1.527282937672,"3"
