fid, reach
1628,5
1629,456
1630,1068
1631,556
1632,507
1633,86
1634,102
1635,79
1636,1
1637,0
1638,0
1639,0
1640,0
1641,0
1642,1
1643,0
1644,3
1645,0
1646,0
1647,0
1648,10
1649,7
1650,0
1651,0
1652,173
1653,283
1654,467
1655,510
1656,524
1657,46
1658,64
1659,35
1660,41
1661,58
1662,54
1663,60
1664,67
1665,285
1666,248
1667,107
1668,305
1669,73
1670,249
1671,119
1672,286
1673,378
1674,115
1675,175
1676,216
1677,315
1678,239
1679,211
1680,208
1681,201
1682,265
1683,122
1684,329
1685,676
1686,415
1687,229
1688,166
1689,65
1690,229
1691,480
1692,219
1693,93
1694,43
1695,13
1696,8
1697,153
1698,360
1699,403
1700,488
1701,488
1702,398
1703,497
1704,247
1705,227
1706,163
1707,163
1708,0
1709,1
1710,0
1711,0
1712,59
1713,333
1714,135
1715,125
1716,118
1717,380
1718,248
1719,385
1720,537
1721,747
1722,896
1723,1147
1724,1293
1725,1068
1726,706
1727,797
1728,523
1729,397
1730,76
1731,53
1732,25
1733,26
1734,31
1735,27
1736,19
1737,141
1738,545
1739,838
1740,720
1741,593
1742,519
1743,59
1744,69
1745,225
1746,126
1747,65
1748,35
1749,35
1750,33
1751,40
1752,56
1753,66
1754,158
1755,452
1756,820
1757,1020
1758,795
1759,48
1760,149
1761,488
1762,817
1763,22
1764,39
1765,525
1766,601
1767,207
1768,155
1769,87
1770,100
1771,158
1772,166
1773,202
1774,473
1775,77
1776,161
1777,128
1778,346
1779,0
1780,844
1781,748
1782,991
1783,685
1784,752
1785,300
1786,144
1787,225
1788,1739
1789,1869
1790,1181
1791,880
1792,631
1793,484
1794,389
1795,267
1796,168
1797,548
1798,1133
1799,2103
1800,1568
1801,1735
1802,1161
1803,873
1804,1343
1805,1224
1806,1111
1807,739
1808,858
1809,786
1810,947
1811,926
1812,894
1813,613
1814,572
1815,581
1816,863
1817,1099
1818,1274
1819,1078
1820,916
1821,696
1822,559
1823,842
1824,715
1825,899
1826,1002
1827,681
1828,47
1829,25
1830,757
1831,521
1832,152
1833,2478
1834,2368
1835,1770
1836,1900
1837,1482
1838,148
1839,180
1840,1207
1841,1333
1842,1423
1843,583
1844,864
1845,2116
1846,2409
1847,798
1848,998
1849,1473
1850,1066
1851,806
1852,848
1853,849
1854,1118
1855,936
1856,695
1857,716
1858,1
1859,24
1860,38
1861,41
1862,53
1863,56
1864,0
1865,2
1866,15
1867,55
1868,0
1869,17
1870,0
1871,0
1872,27
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,17
1880,124
1881,311
1882,443
1883,426
1884,11
1885,45
1886,28
1887,0
1888,33
1889,31
1890,144
1891,84
1892,20
1893,37
1894,687
1895,95
1896,53
1897,71
1898,35
1899,35
1900,77
1901,30
1902,10
1903,12
1904,69
1905,313
1906,399
1907,112
1908,433
1909,721
1910,487
1911,638
1912,774
1913,855
1914,822
1915,757
1916,792
1917,679
1918,656
1919,785
1920,967
1921,945
1922,872
1923,632
1924,0
1925,35
1926,48
1927,250
1928,261
1929,769
1930,694
1931,707
1932,747
1933,915
1934,1151
1935,1254
1936,0
1937,0
1938,0
1939,0
1940,0
1941,285
1942,140
1943,449
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,68
1955,478
1956,494
1957,410
1958,180
1959,0
1960,0
1961,0
1962,0
1963,190
1964,398
1965,533
1966,622
1967,552
1968,568
1969,715
1970,828
1971,1032
1972,1130
1973,1148
1974,1063
1975,101
1976,282
1977,409
1978,619
1979,605
1980,381
1981,510
1982,807
1983,446
1984,150
1985,270
1986,917
1987,452
1988,348
1989,159
1990,515
1991,481
1992,1112
1993,368
1994,581
1995,174
1996,138
1997,58
1998,187
1999,313
2000,338
2001,378
2002,585
2003,190
2004,1289
2005,1711
2006,2142
2007,2314
2008,2164
2009,2134
2010,1776
2011,441
2012,210
2013,90
2014,74
2015,71
2016,1646
2017,1837
2018,1772
2019,2094
2020,1971
2021,1157
2022,863
2023,1757
2024,322
2025,1238
2026,1485
2027,425
2028,847
2029,150
2030,124
2031,176
2032,449
2033,499
2034,769
2035,652
2036,784
2037,912
2038,541
2039,548
2040,837
2041,1057
2042,1273
2043,1495
2044,1089
2045,1004
2046,1368
2047,769
2048,709
2049,486
2050,71
2051,42
2052,28
2053,1
2054,27
2055,735
2056,866
2057,1331
2058,1301
2059,1031
2060,360
2061,345
2062,480
2063,796
2064,1470
2065,5
2066,8
2067,1
2068,2
2069,283
2070,238
2071,284
2072,282
2073,540
2074,806
2075,775
2076,248
2077,331
2078,121
2079,613
2080,737
2081,1110
2082,889
2083,670
2084,583
2085,475
2086,401
2087,396
2088,365
2089,287
2090,382
2091,507
2092,490
2093,469
2094,304
2095,219
2096,314
2097,383
2098,379
2099,360
2100,277
2101,576
2102,682
2103,381
2104,211
2105,353
2106,492
2107,631
2108,599
2109,599
2110,415
2111,704
2112,956
2113,1126
2114,778
2115,620
2116,581
2117,791
2118,714
2119,465
2120,175
2121,340
2122,474
2123,24
2124,26
2125,565
2126,633
2127,85
2128,936
2129,500
2130,443
2131,603
2132,584
2133,961
2134,712
2135,23
2136,53
2137,109
2138,352
2139,202
2140,612
2141,700
2142,846
2143,507
2144,195
2145,59
2146,162
2147,188
2148,70
2149,212
2150,1069
2151,1268
2152,1214
2153,1099
2154,882
2155,688
2156,383
2157,209
2158,96
2159,34
2160,464
2161,518
2162,1141
2163,1204
2164,1070
2165,782
2166,42
2167,617
2168,818
2169,523
2170,709
2171,63
2172,36
2173,221
2174,183
2175,132
2176,83
2177,130
2178,144
2179,117
2180,269
2181,259
2182,615
2183,758
2184,745
2185,634
2186,846
2187,1118
2188,670
2189,583
2190,658
2191,473
2192,458
2193,825
2194,832
2195,707
2196,639
2197,692
2198,198
2199,381
2200,16
2201,4
2202,0
2203,0
2204,0
2205,2
2206,2
2207,2
2208,2
2209,0
2210,0
2211,1
2212,2
2213,379
2214,123
2215,21
2216,241
2217,113
2218,275
2219,608
2220,91
2221,31
2222,38
2223,38
2224,24
2225,4
2226,34
2227,35
2228,28
2229,34
2230,293
2231,14
2232,34
2233,410
2234,420
2235,491
2236,519
2237,464
2238,472
2239,349
2240,397
2241,413
2242,570
2243,678
2244,519
2245,442
2246,260
2247,490
2248,359
2249,322
2250,416
2251,494
2252,400
2253,341
2254,455
2255,599
2256,1
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,2
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,581
2273,356
2274,472
2275,538
2276,905
2277,909
2278,611
2279,0
2280,0
2281,57
2282,64
2283,16
2284,25
2285,11
2286,420
2287,361
2288,528
2289,568
2290,443
2291,498
2292,572
2293,238
2294,351
2295,224
2296,191
2297,278
2298,88
2299,304
2300,412
2301,234
2302,492
2303,541
2304,548
2305,760
2306,700
2307,625
2308,486
2309,402
2310,1008
2311,36
2312,14
2313,98
2314,295
2315,345
2316,361
2317,372
2318,462
2319,388
2320,1006
2321,272
2322,391
2323,733
2324,438
2325,367
2326,413
2327,606
2328,619
2329,211
2330,161
2331,325
2332,368
2333,349
2334,578
2335,231
2336,85
2337,265
2338,250
2339,29
2340,0
2341,0
2342,237
2343,298
2344,581
2345,546
2346,842
2347,598
2348,232
2349,141
2350,45
2351,35
2352,0
2353,167
2354,247
2355,235
2356,172
2357,150
2358,38
2359,243
2360,33
2361,1696
2362,1276
2363,1330
2364,1093
2365,861
2366,1065
2367,2018
2368,2555
2369,2360
2370,2200
2371,1690
2372,1210
2373,1084
2374,1465
2375,1567
2376,1700
2377,1327
2378,1411
2379,21
2380,164
2381,87
2382,25
2383,170
2384,557
2385,335
2386,423
2387,572
2388,548
2389,411
2390,223
2391,296
2392,329
2393,360
2394,262
2395,43
2396,176
2397,109
2398,99
2399,255
2400,464
2401,658
2402,522
2403,232
2404,673
2405,493
2406,392
2407,478
2408,432
2409,432
2410,443
2411,401
2412,452
2413,254
2414,43
2415,127
2416,265
2417,19
2418,472
2419,487
2420,634
2421,621
2422,660
2423,638
2424,398
2425,106
2426,262
2427,478
2428,329
2429,529
2430,545
2431,1185
2432,903
2433,158
2434,118
2435,89
2436,211
2437,645
2438,707
2439,944
2440,968
2441,811
2442,789
2443,484
2444,968
2445,700
2446,266
2447,77
2448,908
2449,124
2450,428
2451,14
2452,6
2453,97
2454,592
2455,837
2456,732
2457,387
2458,480
2459,411
2460,165
2461,538
2462,652
2463,788
2464,661
2465,801
2466,1085
2467,1246
2468,1097
2469,1055
2470,1372
2471,102
2472,12
2473,200
2474,1306
2475,1323
2476,722
2477,426
2478,573
2479,537
2480,770
2481,797
2482,672
2483,785
2484,790
2485,823
2486,509
2487,265
2488,370
2489,1068
2490,948
2491,852
2492,639
2493,841
2494,1848
2495,1559
2496,818
2497,1421
2498,1624
2499,1652
2500,1111
2501,1140
2502,1247
2503,1128
2504,755
2505,718
2506,705
2507,396
2508,782
2509,779
2510,978
2511,1090
2512,1046
2513,284
2514,885
2515,970
2516,935
2517,573
2518,993
2519,1225
2520,1205
2521,1206
2522,956
2523,857
2524,943
2525,930
2526,1090
2527,1200
2528,562
2529,913
2530,739
2531,1068
2532,1181
2533,1076
2534,1005
2535,771
2536,808
2537,476
2538,397
2539,1113
2540,676
2541,368
2542,243
2543,479
2544,495
2545,514
2546,1009
2547,563
2548,885
2549,864
2550,374
2551,93
2552,47
2553,12
2554,191
2555,281
2556,429
2557,1234
2558,763
2559,771
2560,685
2561,555
2562,817
2563,878
2564,367
2565,63
2566,339
2567,374
2568,953
2569,160
2570,167
2571,322
2572,304
2573,90
2574,308
2575,459
2576,1810
2577,2280
2578,162
2579,136
2580,200
2581,162
2582,121
2583,515
2584,299
2585,234
2586,85
2587,842
2588,1202
2589,1333
2590,1062
2591,331
2592,426
2593,166
2594,521
2595,386
2596,317
2597,779
2598,1062
2599,811
2600,735
2601,483
2602,778
2603,834
2604,705
2605,471
2606,409
2607,11
2608,224
2609,283
2610,444
2611,717
2612,750
2613,628
2614,206
2615,391
2616,334
2617,265
2618,959
2619,1291
2620,1671
2621,747
2622,750
2623,638
2624,260
2625,294
2626,340
2627,686
2628,758
2629,0
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,184
2642,645
2643,879
2644,827
2645,976
2646,604
2647,467
2648,435
2649,252
2650,422
2651,417
2652,370
2653,497
2654,553
2655,692
2656,1421
2657,925
2658,0
2659,0
2660,0
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,1133
2668,0
2669,0
2670,78
2671,6
2672,0
2673,9
2674,615
2675,573
2676,409
2677,573
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,76
2686,78
2687,85
2688,150
2689,170
2690,142
2691,109
2692,116
2693,52
2694,66
2695,149
2696,217
2697,222
2698,354
2699,121
2700,393
2701,340
2702,360
2703,285
2704,330
2705,411
2706,463
2707,414
2708,361
2709,244
2710,247
2711,249
2712,250
2713,301
2714,307
2715,413
2716,406
2717,1047
2718,1154
2719,462
2720,284
2721,456
2722,222
2723,231
2724,162
2725,614
2726,779
2727,862
2728,30
2729,409
2730,209
2731,232
2732,118
2733,72
2734,47
2735,215
2736,517
2737,528
2738,338
2739,81
2740,50
2741,0
2742,0
2743,26
2744,88
2745,157
2746,223
2747,735
2748,406
2749,280
2750,379
2751,469
2752,620
2753,542
2754,246
2755,1
2756,172
2757,158
2758,218
2759,303
2760,346
2761,316
2762,5
2763,6
2764,163
2765,162
2766,171
2767,106
2768,492
2769,184
2770,619
2771,104
2772,102
2773,333
2774,320
2775,362
2776,353
2777,313
2778,303
2779,357
2780,17
2781,585
2782,222
2783,210
2784,150
2785,44
2786,290
2787,269
2788,3
2789,3
2790,2
2791,3
2792,2
2793,0
2794,2
2795,7
2796,19
2797,40
2798,89
2799,142
2800,82
2801,39
2802,30
2803,56
2804,0
2805,12
2806,17
2807,55
2808,63
2809,138
2810,161
2811,142
2812,154
2813,76
2814,9
2815,9
2816,0
2817,0
2818,28
2819,42
2820,90
2821,89
2822,63
2823,59
2824,75
2825,59
2826,1
2827,24
2828,373
2829,6
2830,13
2831,36
2832,201
2833,139
2834,25
2835,52
2836,21
2837,312
2838,49
2839,79
2840,89
2841,14
2842,45
2843,66
2844,42
2845,94
2846,41
2847,65
2848,67
2849,50
2850,87
2851,125
2852,143
2853,10
2854,70
2855,45
2856,24
2857,158
2858,210
2859,369
2860,249
2861,112
2862,249
2863,53
2864,1
2865,1037
2866,646
2867,120
2868,585
2869,208
2870,46
2871,66
2872,102
2873,865
2874,667
2875,331
2876,169
2877,415
2878,312
2879,643
2880,860
2881,117
2882,340
2883,253
2884,413
2885,748
2886,390
2887,305
2888,174
2889,344
